0 93.22
1 79.1
2 85.02
3 90.42
4 99.06
5 121.22
6 99.92
7 88.56
8 102.92
9 120.98
10 86.22
11 116.78
12 123.8
13 92.56
14 98.02
15 102.34
16 92.34
17 103.16
18 79.44
19 123.34
20 88.9
21 90.88
22 106.58
23 94.46
24 101.5
25 85.52
26 105
27 133.22
28 96.64
29 95.16
30 102.76
31 107.68
32 113.9
33 115.6
34 113.24
35 109.42
36 115.5
37 104.76
38 106.86
39 92.06
40 132.08
41 100.28
42 105.66
43 99.08
44 81.88
45 102.14
46 88.8
47 94.56
48 91.84
49 108.66
50 120.68
51 85.96
52 85.92
53 86.64
54 94
55 88.9
56 107.42
57 102.5
58 113.28
59 118.88
60 94.4
61 90.5
62 88.86
63 89.36
64 75.46
65 90.92
66 87.54
67 84.2
68 116.44
69 126.02
70 89.98
71 97.86
72 84.8
73 100.22
74 82.34
75 78.96
76 87.86
77 126.68
78 83.14
79 108.58
80 117.26
81 116.42
82 81.04
83 97.44
84 79.22
85 99.66
86 100.22
87 95.24
88 89.88
89 108.24
90 118.34
91 97.96
92 98.52
93 77.62
94 106.42
95 93.26
96 96.8
97 113.86
98 98.06
99 100.76
